https://tdstroitel.ru,11.12.2022,TD0Г-00564296,"Радиатор стальной V11 400x1200мм (1100Вт), нижний, IDMAR",6299.9,4,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-v11-400x1200mm-1100vt-nizhniy-idmar/,радиатор,стальной панельный,1100
https://tdstroitel.ru,11.12.2022,TD506148,"Радиатор стальной СV22 600x400мм (684Вт), универсальный, PURMO",5499.9,3,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiatorstalnoysv22600x400mm684vtuniversalnyypurmo/,радиатор,стальной панельный,684
https://tdstroitel.ru,11.12.2022,TD0Г-00564570,"Радиатор стальной V22 500x1500мм (2773Вт), нижний, IDMAR",10999.9,1,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-v22-500x1500mm-2773vt-nizhniy-idmar/,радиатор,стальной панельный,2773
https://tdstroitel.ru,11.12.2022,TD0Г-00564561,"Радиатор стальной V22 400x900мм (1380Вт), нижний, IDMAR",7599.9,4,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-v22-400x900mm-1380vt-nizhniy-idmar/,радиатор,стальной панельный,1380
https://tdstroitel.ru,11.12.2022,TD0Г-00564304,"Радиатор стальной V11 600x400мм (513Вт), нижний, IDMAR",2299.9,3,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-v11-600x400mm-513vt-nizhniy-idmar/,радиатор,стальной панельный,513
https://tdstroitel.ru,11.12.2022,TD0Г-00564286,"Радиатор стальной С22 500x800мм (1479Вт), боковой, IDMAR",5199.9,1,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-s22-500x800mm-1479vt-bokovoy-idmar/,радиатор,стальной панельный,1479
https://tdstroitel.ru,11.12.2022,TD505982,"Радиатор стальной СV11 500x400мм (347Вт), универсальный, PURMO",4599.9,3,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiatorstalnoysv11500x400mm347vtuniversalnyypurmo/,радиатор,стальной панельный,347
https://tdstroitel.ru,11.12.2022,TD0Г-00564292,"Радиатор стальной С22 600x1200мм (2584Вт), боковой, IDMAR",10599.9,2,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-s22-600x1200mm-2584vt-bokovoy-idmar/,радиатор,стальной панельный,2584
https://tdstroitel.ru,11.12.2022,TD0Г-00564294,"Радиатор стальной V11 400x800мм (733Вт), нижний, IDMAR",4999.9,3,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-v11-400x800mm-733vt-nizhniy-idmar/,радиатор,стальной панельный,733
https://tdstroitel.ru,11.12.2022,TD506104,"Радиатор стальной СV22 300x400мм (384Вт), универсальный, PURMO",5299.9,2,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiatorstalnoysv22300x400mm384vtuniversalnyypurmo/,радиатор,стальной панельный,384
https://tdstroitel.ru,11.12.2022,TD0Г-00564283,"Радиатор стальной С11 600x1200мм (1539Вт), боковой, IDMAR",4999.9,11,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-s11-600x1200mm-1539vt-bokovoy-idmar/,радиатор,стальной панельный,1539
https://tdstroitel.ru,11.12.2022,TD0Г-00564526,"Радиатор стальной V11 400x900мм (825Вт), нижний, IDMAR",5299.9,3,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiator-stalnoy-v11-400x900mm-825vt-nizhniy-idmar/,радиатор,стальной панельный,825
https://tdstroitel.ru,11.12.2022,TD506053,"Радиатор стальной СV11 600x400мм (407Вт), универсальный, PURMO",4299.9,1,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-stalnye/radiatorstalnoysv11600x400mm407vtuniversalnyypurmo/,радиатор,стальной панельный,407
https://tdstroitel.ru,11.12.2022,TD562239,"Радиатор биметаллический KONNER Bimetal 200/100мм 10 секций (750 Вт), Konner",6599.9,4,https://tdstroitel.ru/vodosnabzhenie-otoplenie/radiatory/radiatory-bimetallicheskie/radiator-bimetallicheskiy-konner-bimetal-200-100mm-10-sekciy-750-vt-konner/,радиатор,биметаллический,750
